_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,value,sensor_name,log_s0,log_s1,log_s2,log_s3,log_s4,log_s5,log_s6,log_s7,log_s8,log_s9,D0,D1,D2,D3,D4,D5,D6,D7,D8,value_encoded
2024-06-03 14:01:00+00:00,"3,488","3,358","31,79","39,512",440000,59028100,54876200,53696000,4289000,4212900,4180600,447200,478200,505100,air,Tree31,5.643453663517979,7.771058811706928,7.739384038160703,7.72994194290061,6.632356147496809,6.624581253653579,6.621238720105503,5.650502766018788,5.679610479964674,5.70337822833031,2.127605148188949,-0.031674773546225055,-0.009442095260093097,-1.097585795403801,-0.007774893843230046,-0.003342533548075899,-0.9707359540867149,0.029107713945885294,0.023767748365636443,0
2024-06-03 14:02:00+00:00,"3,487","3,357","31,89","38,614",438000,58948500,55083800,53270400,4262200,4229200,4212900,446900,479900,502900,air,Tree31,5.641475102042881,7.770472765907689,7.741023900654787,7.726485966006376,6.6296339266387445,6.62625832622433,6.624581253653579,5.650211326452697,5.681151654900185,5.701482499200267,2.1289976638648085,-0.02944886525290169,-0.014537934648411799,-1.096852039367631,-0.003375600414414315,-0.0016770725707511147,-0.9743699272008817,0.030940328447487175,0.020330844300082695,0
2024-06-03 14:03:00+00:00,"3,489","3,358","32,03","38,617",437200,59429600,54738700,52851600,4248900,4193400,4183800,446000,476600,502900,air,Tree31,5.640681146630788,7.774002814490416,7.7382944869866765,7.723058147649769,6.62827661208396,6.622566394423651,6.621571019392384,5.649335832465494,5.678154949244232,5.701482499200267,2.1333216678596276,-0.03570832750373931,-0.015236339336907712,-1.0947815355658088,-0.005710217660308992,-0.0009953750312670095,-0.9722351869268904,0.028819116778738163,0.023327549956035476,0
2024-06-03 14:05:00+00:00,"3,487","3,36","32,07","38,492",434100,57970800,54364100,52565400,4232400,4196700,4136300,445500,475200,499600,air,Tree31,5.63759078628556,7.763209301189759,7.735312210652278,7.720699981817864,6.626586808326973,6.622908028378562,6.616612134989796,5.648848683219121,5.67687734589154,5.698623298985619,2.1256185149041995,-0.027897090537480906,-0.014612228834414154,-1.094113173490891,-0.003678779948410593,-0.006295893388766238,-0.9677634517706748,0.028028662672418214,0.02174595309407934,0
2024-06-03 14:06:00+00:00,"3,489","3,358","32,14","38,479",437700,58789800,54229200,52376400,4239000,4190200,4167800,444300,472600,500700,air,Tree31,5.641177538831496,7.76930199013043,7.734233205692188,7.719135652937244,6.627263519020316,6.622234856163704,6.619906974527283,5.647677290720036,5.6744946362426525,5.699578458772683,2.128124451298934,-0.03506878443824135,-0.015097552754943955,-1.0918721339169286,-0.005028662856611632,-0.0023278816364209476,-0.9722296838072468,0.026817345522616165,0.025083822530030275,0
2024-06-03 14:07:00+00:00,"3,489","3,33","32,16","38,576",431900,58009200,53828300,52064300,4190200,4174200,4136300,442000,471300,495200,air,Tree31,5.6353842095904,7.763496883676858,7.731010672255417,7.716540042056188,6.622234856163704,6.620573357783847,6.616612134989796,5.645423251914681,5.673298361240691,5.694781513019419,2.1281126740864575,-0.032486211421440814,-0.014470630199229007,-1.094305185892484,-0.0016614983798568517,-0.003961222794051089,-0.971188883075115,0.02787510932600945,0.02148315177872817,0
2024-06-03 14:08:00+00:00,"3,489","3,316","32,05","38,225",432700,59028100,54262800,52407800,4248900,4206400,4142600,442600,474600,498900,air,Tree31,5.636187898882524,7.771058811706928,7.7345022079188865,7.719395937348056,6.62827661208396,6.623910672008396,6.617273105675068,5.646012390824839,5.676328648955118,5.698014374442382,2.1348709128244048,-0.03655660378804182,-0.015106270570830915,-1.0911193252640956,-0.004365940075564012,-0.0066375663333282375,-0.9712607148502288,0.03031625813027894,0.021685725487263774,0
2024-06-03 14:10:00+00:00,"3,489","3,361","32,18","37,836",438000,59632300,54670200,53270400,4319500,4262200,4245600,448100,477600,502200,air,Tree31,5.641475102042881,7.775481567560106,7.737750670617922,7.726485966006376,6.635433578883521,6.6296339266387445,6.627939176914158,5.65137591310295,5.679065227447166,5.700877573159957,2.134006465517225,-0.037730896942183456,-0.011264704611546605,-1.091052387122855,-0.005799652244776077,-0.0016947497245869414,-0.9765632638112072,0.027689314344215177,0.021812345712791448,0
2024-06-03 14:11:00+00:00,"3,489","3,361","32,25","38,45",435800,58988200,54262800,52628700,4242300,4196700,4183800,445200,477600,499600,air,Tree31,5.639288222454486,7.770765151421111,7.7345022079188865,7.72122265074131,6.627601479362396,6.622908028378562,6.621571019392384,5.648556131165802,5.679065227447166,5.698623298985619,2.1314769289666256,-0.03626294350222459,-0.013279557177576784,-1.0936211713789135,-0.004693450983833891,-0.0013370089861783896,-0.9730148882265821,0.030509096281363668,0.019558071538453348,0
2024-06-03 14:12:00+00:00,"3,488","3,361","32,19","38,571",434100,58241200,53927900,52407800,4229200,4190200,4190200,446000,475900,499200,air,Tree31,5.63759078628556,7.765230322044934,7.731813516860427,7.719395937348056,6.62625832622433,6.622234856163704,6.622234856163704,5.649335832465494,5.6775166173728815,5.69827544665443,2.127639535759374,-0.033416805184506515,-0.012417579512371546,-1.0931376111237254,-0.004023470060626089,0.0,-0.9728990236982105,0.028180784907387846,0.020758829281548152,0
