cycleID,Temperature,Humidity,Pressure,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7,Resistance8,Resistance9,label
88264,37.967796,20.287472,1021.636414,487851.34375,102400000.0,102400000.0,71312296.0,3120167.5,2831662.75,2629855.5,408212.09375,454706.9375,479962.5,gasolio
88272,38.027611,20.142838,1021.638855,496003.875,102400000.0,102400000.0,73102064.0,3217596.25,2894699.75,2708099.25,413153.125,462093.875,480977.0,gasolio
88280,37.972778,20.197586,1021.623657,489952.15625,102400000.0,102400000.0,71839960.0,3148952.5,2846421.25,2663199.0,409681.9375,454706.9375,485078.15625,gasolio
88288,37.947853,20.413616,1021.629333,500733.5,102400000.0,102400000.0,72375480.0,3147138.0,2846421.25,2663199.0,403626.34375,445217.40625,465560.34375,gasolio
88296,38.082443,20.555498,1021.640991,486114.40625,102400000.0,102400000.0,69998400.0,3095409.0,2802600.0,2607256.5,407238.03125,458370.625,481655.6875,gasolio
88304,38.00518,20.491837,1021.631592,502206.96875,102400000.0,102400000.0,74093840.0,3234748.25,2938307.0,2718884.75,415668.75,460846.09375,483703.34375,gasolio
88312,38.137276,20.452768,1021.637451,502946.96875,102400000.0,102400000.0,73040960.0,3178273.5,2861334.25,2637475.75,401726.15625,440619.625,465560.34375,gasolio
88320,38.144753,20.506453,1021.645447,487502.96875,102400000.0,102400000.0,70223416.0,3091904.25,2791141.5,2582597.75,389575.8125,421052.625,435004.25,gasolio
88328,38.167183,20.614388,1021.656311,454404.25,102400000.0,93823912.0,62579136.0,2791141.5,2577721.75,2396723.25,389131.6875,432249.90625,454404.25,gasolio
88336,38.269371,20.679829,1021.646912,472324.71875,102400000.0,99034376.0,65096596.0,2852367.75,2640025.75,2454899.5,389798.25,430071.40625,451399.59375,gasolio
88344,38.279335,20.739124,1021.664246,473964.375,102400000.0,101448920.0,68516464.0,3076229.75,2762900.5,2582597.75,402674.0,451101.3125,479962.5,gasolio
88352,38.074963,20.198994,1021.647705,500000.0,102400000.0,102400000.0,74156720.0,3236665.25,2947823.0,2732488.25,416683.625,460846.09375,490304.03125,gasolio
88360,38.199581,20.494144,1021.651123,509326.03125,102400000.0,102400000.0,75177520.0,3240506.25,2944644.25,2765698.75,418985.28125,466833.8125,493850.96875,gasolio
88368,38.219521,20.436968,1021.66748,512769.15625,102400000.0,102400000.0,76897624.0,3321305.5,3084918.0,2796859.0,423665.6875,468114.28125,496003.875,gasolio
88376,38.182137,20.407898,1021.642639,507433.09375,102400000.0,102400000.0,75307096.0,3261795.75,2983248.25,2754539.25,417448.03125,463978.25,486460.8125,gasolio
88384,38.28183,20.520914,1021.658936,509326.03125,102400000.0,102400000.0,75242248.0,3273526.5,2954201.25,2757320.75,416429.4375,458987.0,479625.28125,gasolio
88392,38.339153,20.519417,1021.664917,493850.96875,102400000.0,102400000.0,71663200.0,3143515.0,2855350.25,2678875.0,411658.28125,453197.625,477946.3125,gasolio
88400,38.3242,20.518419,1021.643311,493137.5,102400000.0,102400000.0,73040960.0,3159884.25,2846421.25,2645140.5,398676.28125,437793.9375,465878.0625,gasolio
88408,38.384018,20.618265,1021.658813,484046.3125,102400000.0,102400000.0,70054520.0,3079699.25,2785447.25,2580157.5,405063.28125,452296.8125,475615.40625,gasolio
88416,38.354107,20.557682,1021.660339,497812.34375,102400000.0,102400000.0,72797560.0,3181977.0,2891634.25,2705416.0,408212.09375,454404.25,477946.3125,gasolio
88424,38.403954,20.608948,1021.676758,497449.59375,102400000.0,102400000.0,71722024.0,3136294.0,2837547.75,2658014.25,416429.4375,465243.0625,498175.625,gasolio
88432,38.274353,20.424658,1021.667725,517433.0625,102400000.0,102400000.0,79341408.0,3423318.0,3134494.0,2885523.0,428720.96875,470696.40625,501837.78125,gasolio
88440,38.284325,20.334944,1021.655457,519401.46875,102400000.0,102400000.0,78840304.0,3374665.25,3111280.0,2849391.25,430613.96875,476944.5625,506304.09375,gasolio
88448,38.306755,20.480009,1021.673706,525802.3125,102400000.0,102400000.0,80215424.0,3425465.25,3136294.0,2867343.25,427646.6875,475947.0,502946.96875,gasolio
88456,38.403954,20.502453,1021.671143,519796.96875,102400000.0,102400000.0,79197584.0,3364271.0,3100681.25,2840499.25,422093.96875,463034.125,483018.875,gasolio
88464,38.433865,20.536394,1021.656677,496364.53125,102400000.0,102400000.0,75242248.0,3254021.75,2960607.25,2746228.75,424455.96875,472979.21875,507433.09375,gasolio
88472,38.349125,20.275469,1021.680359,526207.625,102400000.0,102400000.0,80511056.0,3447086.0,3195007.75,2913229.0,434450.5625,483703.34375,507056.1875,gasolio
88480,38.3242,20.44393,1021.647034,526613.5,102400000.0,102400000.0,79197584.0,3368421.0,3116606.5,2817056.5,415415.8125,453197.625,475947.0,gasolio
88488,38.43885,20.515429,1021.684875,496364.53125,102400000.0,102400000.0,72435480.0,3148952.5,2846421.25,2673629.25,408456.3125,458678.625,477946.3125,gasolio
88496,38.491188,20.540224,1021.673828,501101.0625,102400000.0,102400000.0,75633008.0,3305225.0,3050456.25,2796859.0,427111.5625,483018.875,509706.3125,gasolio
88504,38.361584,20.228483,1021.681213,533611.25,102400000.0,102400000.0,84973744.0,3618374.5,3309230.5,3083176.5,441189.15625,493137.5,522582.28125,gasolio
88512,38.236969,20.103521,1021.71875,545551.4375,102400000.0,102400000.0,86917768.0,3637655.5,3364271.0,3172734.25,445217.40625,495643.75,522582.28125,gasolio
88520,38.393986,20.066061,1021.685425,544246.625,102400000.0,102400000.0,87879320.0,3691753.0,3387223.5,3129106.25,446381.875,498175.625,524993.5625,gasolio
88528,38.379032,20.176531,1021.695496,531948.0625,102400000.0,102400000.0,82721360.0,3511358.75,3244356.5,2957400.75,439202.21875,492426.0625,513154.59375,gasolio
88536,38.441341,20.3613,1021.718445,520589.71875,102400000.0,102400000.0,79630616.0,3431923.0,3191273.75,2858339.25,433898.3125,484046.3125,508946.3125,gasolio
88544,38.560974,20.358603,1021.724976,532362.875,102400000.0,102400000.0,81108912.0,3473394.0,3185689.25,2925714.25,431157.90625,476611.59375,507810.5625,gasolio
88552,38.541039,20.298786,1021.697815,522982.625,102400000.0,102400000.0,81033696.0,3453625.75,3150769.25,2891634.25,418215.21875,463978.25,492781.53125,gasolio
88560,38.468758,20.5121,1021.698242,517041.15625,102400000.0,102400000.0,79630616.0,3419031.75,3148952.5,2879437.5,435004.25,486114.40625,519006.59375,gasolio
88568,38.296783,20.33577,1021.713806,545551.4375,102400000.0,102400000.0,88772096.0,3724482.75,3399875.5,3169052.25,450505.9375,499634.0625,526613.5,gasolio
88576,38.264381,20.200838,1021.720764,547300.9375,102400000.0,102400000.0,90238896.0,3734670.5,3464580.25,3213809.25,452896.9375,507056.1875,536125.625,gasolio
88584,38.301769,20.277653,1021.730896,556673.0,102400000.0,102400000.0,90707264.0,3737226.25,3444911.75,3236665.25,443482.03125,491716.6875,513927.21875,gasolio
88592,38.391495,20.342043,1021.711243,530707.4375,102400000.0,102400000.0,84317784.0,3564063.5,3267650.5,3065868.25,441189.15625,492781.53125,521384.9375,gasolio
88600,38.413925,20.417982,1021.731384,546424.75,102400000.0,102400000.0,87879320.0,3637655.5,3378841.0,3123737.0,440051.5625,481995.75,504061.03125,gasolio
88608,38.483711,20.529074,1021.728882,521384.9375,102400000.0,102400000.0,81108912.0,3457999.25,3204381.0,2913229.0,437793.9375,488899.5,518612.3125,gasolio
88616,38.52359,20.473177,1021.733582,536125.625,102400000.0,102400000.0,85139328.0,3599297.0,3291281.75,2986511.0,433072.53125,476944.5625,501101.0625,gasolio
88624,38.60833,20.457535,1021.745117,512769.15625,102400000.0,102400000.0,80436944.0,3438405.0,3156232.0,2894699.75,431976.375,486114.40625,513927.21875,gasolio
88632,38.528572,20.404324,1021.728271,535704.9375,102400000.0,102400000.0,85639984.0,3573391.5,3335505.0,3116606.5,444637.4375,492426.0625,509706.3125,gasolio
88640,38.546021,20.464024,1021.735107,505928.84375,102400000.0,102400000.0,78135320.0,3370500.0,3134494.0,2873377.75,435004.25,490304.03125,526207.625,gasolio
88648,38.543526,20.549051,1021.746155,547300.9375,102400000.0,102400000.0,86487624.0,3608810.5,3358065.25,3132696.0,439768.09375,484046.3125,509706.3125,gasolio
88656,38.638237,20.512775,1021.739807,526613.5,102400000.0,102400000.0,80883680.0,3444911.75,3181977.0,2888575.5,423402.9375,470696.40625,488899.5,gasolio
88664,38.660667,20.450377,1021.756165,512769.15625,102400000.0,102400000.0,77374264.0,3341627.5,3067590.25,2799726.5,423402.9375,468114.28125,490304.03125,gasolio
88672,38.663162,20.482487,1021.758179,503317.78125,102400000.0,102400000.0,75633008.0,3269606.75,2973502.75,2799726.5,420793.09375,461781.28125,494925.09375,gasolio
88680,38.640728,20.470343,1021.754822,500366.46875,102400000.0,102400000.0,75633008.0,3257904.25,2941472.25,2754539.25,412155.375,456836.9375,482336.3125,gasolio
88688,38.713009,20.464518,1021.778503,497449.59375,102400000.0,102400000.0,74219704.0,3195007.75,2931997.25,2700066.0,389798.25,411162.40625,419500.21875,gasolio
88696,38.727962,20.454863,1021.764526,432523.75,102400000.0,87091032.0,59148016.0,2676249.5,2499847.5,2337232.5,375848.78125,413653.8125,430071.40625,gasolio
88704,38.755379,20.44072,1021.779602,445798.875,102400000.0,92239272.0,62311384.0,2793997.25,2570442.5,2405167.25,375435.375,410667.75,424455.96875,gasolio
88712,38.713009,20.437895,1021.767334,424455.96875,102400000.0,87879320.0,58436024.0,2617252.5,2426540.25,2280623.5,366106.53125,412155.375,438356.15625,gasolio
88720,38.713009,20.42725,1021.782227,440335.40625,102400000.0,89591248.0,60499424.0,2668404.0,2461538.5,2303712.0,354325.25,399843.8125,418471.59375,gasolio
88728,38.760365,20.4517,1021.789062,427378.96875,102400000.0,86061720.0,58592760.0,2614746.25,2420088.75,2223066.5,359550.5625,403865.125,428183.15625,gasolio
88736,38.82766,20.418913,1021.786316,437233.125,102400000.0,89867672.0,59918628.0,2671014.0,2454899.5,2313470.75,357292.40625,397053.125,417703.4375,gasolio
88744,38.812706,20.332754,1021.820679,429260.125,102400000.0,86831400.0,57779148.0,2624799.75,2428698.5,2237640.0,350684.9375,390690.5625,405544.5625,gasolio
88752,38.842613,20.467844,1021.802185,413653.8125,102400000.0,79848920.0,53630116.0,2459321.5,2276820.5,2136114.75,341903.1875,368876.09375,389353.625,gasolio
88760,38.875011,20.384796,1021.811829,403387.8125,99598784.0,77305808.0,51725336.0,2392523.25,2219452.75,2069732.25,340538.75,382160.84375,401489.90625,gasolio
88768,38.889965,20.375145,1021.805542,414407.125,102400000.0,81639368.0,54945296.0,2483929.75,2288268.25,2132778.0,343278.59375,385179.625,402199.53125,gasolio
88776,38.904922,20.376139,1021.806458,413153.125,102400000.0,80289128.0,53663052.0,2443914.0,2269252.0,2103209.25,339522.53125,378768.25,395672.34375,gasolio
88784,38.91489,20.371481,1021.812683,406510.53125,100399848.0,77926280.0,52282408.0,2380011.5,2221258.25,2058808.75,334531.1875,367288.375,389798.25,gasolio
88792,38.922371,20.366652,1021.83374,400312.75,99146744.0,75698528.0,51572692.0,2351320.25,2198014.5,2028224.75,326530.625,355802.65625,377929.5,gasolio
88800,38.932335,20.377964,1021.81012,391811.75,95463944.0,73843384.0,48998880.0,2292109.75,2114610.25,1982575.0,325596.1875,357292.40625,385832.71875,gasolio
88808,38.939812,20.469007,1021.807068,391138.28125,95255816.0,72858256.0,48889220.0,2299831.5,2111340.25,1973975.875,322519.6875,349965.8125,362991.84375,gasolio
88816,38.967232,20.385612,1021.829224,375229.03125,88862376.0,68409184.0,45400764.0,2178723.5,1994157.75,1868613.125,310209.03125,341219.59375,359172.21875,gasolio
88824,39.014587,20.372791,1021.821411,369275.15625,89134312.0,69276952.0,45495316.0,2168343.0,1997074.625,1875028.625,314496.3125,348892.6875,360690.375,gasolio
88832,39.007107,20.500156,1021.820923,378558.21875,88682000.0,69774824.0,45637884.0,2161477.5,2019226.0,1871174.0,314206.8125,344317.40625,359929.6875,gasolio
88840,38.997139,20.323713,1021.803589,362991.84375,86659176.0,67199176.0,44206408.0,2116249.0,1976834.0,1828571.375,311909.84375,335517.6875,355062.40625,gasolio
88848,39.051971,20.322031,1021.810974,360690.375,84317784.0,65388876.0,43030860.0,2085539.75,1937559.125,1807989.375,307969.9375,336510.03125,353591.15625,gasolio
88856,39.054466,20.364798,1021.829834,362221.4375,85639984.0,65242408.0,42528228.0,2076026.375,1921200.75,1805598.375,303317.53125,336178.59375,352132.0625,gasolio
88864,39.084373,20.382765,1021.811401,363765.53125,85472448.0,66382376.0,42946264.0,2099974.25,1933443.5,1809187.25,303857.5625,329366.34375,345362.5625,gasolio
88872,39.126743,20.225872,1021.821716,356545.96875,82254160.0,63906388.0,41517896.0,2026719.5,1880192.75,1743349.625,300645.90625,330003.21875,344317.40625,gasolio
88880,39.136711,20.141424,1021.807495,353225.25,80734216.0,63258688.0,40144564.0,1991249.375,1858439.25,1720285.625,298020.96875,327156.5625,340199.34375,gasolio
88888,39.149174,20.312519,1021.821289,347118.65625,79485752.0,61870192.0,39924460.0,1956999.5,1849627.5,1712732.625,290909.09375,321608.03125,333224.875,gasolio
88896,39.164131,20.313517,1021.829834,342933.6875,77995832.0,60374020.0,39102624.0,1934813.375,1794916.75,1663688.0,290909.09375,322824.71875,336178.59375,gasolio
88904,39.206501,20.295033,1021.832581,349965.8125,79197584.0,60794064.0,39384616.0,1956999.5,1821253.875,1695715.125,292404.34375,319202.0,333876.75,gasolio
88912,39.179085,20.293211,1021.858582,340878.84375,77237480.0,59836568.0,38963140.0,1936185.25,1782031.75,1671836.75,291157.25,319500.78125,333550.5,gasolio
88920,39.206501,20.241798,1021.847534,343278.59375,76560744.0,59108004.0,38180016.0,1917154.25,1769330.5,1644649.625,285794.03125,314206.8125,329048.84375,gasolio
88928,39.223946,20.290869,1021.833801,337174.84375,75829912.0,57932376.0,37268128.0,1881488.25,1754551.25,1610696.0,284365.46875,307692.3125,322824.71875,gasolio
88936,39.243885,20.286865,1021.820374,329366.34375,73532680.0,56802600.0,36952916.0,1850881.125,1708446.25,1601251.0,284128.75,311625.0625,324667.09375,gasolio
88944,39.251362,20.298012,1021.857971,335847.8125,73718784.0,56802600.0,37015532.0,1852136.5,1719202.5,1592844.625,282015.96875,309646.21875,323436.5,gasolio
88952,39.268806,20.400394,1021.842346,331284.375,73532680.0,56765700.0,36612292.0,1842140.75,1694662.75,1571757.5,280164.15625,308805.78125,322519.6875,gasolio
88960,39.286255,20.284355,1021.867615,333224.875,72435480.0,56037624.0,35949532.0,1811587.75,1687332.625,1574476.25,277206.28125,306311.6875,319202.0,gasolio
88968,39.291241,20.199511,1021.854919,328099.96875,71138128.0,54773088.0,35310344.0,1806793.125,1665717.75,1565450.0,276085.1875,303857.5625,311340.84375,gasolio
88976,39.318657,20.286509,1021.858582,320701.53125,68840336.0,53108588.0,34097816.0,1747813.125,1616416.75,1514232.875,275194.84375,301708.90625,314786.34375,gasolio
88984,39.296227,20.290342,1021.847839,317126.03125,68355672.0,52660508.0,33729284.0,1754551.25,1612598.375,1511718.0,272993.875,300645.90625,313054.125,gasolio
88992,39.333611,20.282175,1021.865295,320701.53125,68355672.0,52724056.0,33938892.0,1742237.375,1611646.625,1501741.5,271258.28125,296983.75,311625.0625,gasolio
89000,39.363518,20.406717,1021.869202,316244.59375,67719968.0,52407836.0,33317742.0,1728999.625,1599375.25,1481910.25,269544.625,297501.4375,306037.0625,gasolio
89008,39.380966,20.12031,1021.885193,316537.875,67302696.0,51240032.0,33165992.0,1707378.125,1583607.25,1469153.5,268273.5,292906.1875,303317.53125,gasolio
89016,39.388443,20.243217,1021.883972,313054.125,66031236.0,50441408.0,32499876.0,1703118.5,1556526.75,1447349.875,263306.75,289674.6875,298281.375,gasolio
89024,39.361027,20.241396,1021.883911,301975.8125,63534660.0,49026368.0,31402012.0,1632848.375,1523526.125,1412901.0,259700.734375,287721.28125,298542.28125,gasolio
89032,39.385948,20.280327,1021.883728,312480.9375,64710936.0,49386588.0,32212338.0,1674913.125,1547704.5,1435178.75,262901.15625,286033.53125,301708.90625,gasolio
89040,39.403397,20.292139,1021.886719,305762.90625,63953160.0,48998880.0,31560800.0,1638727.75,1535520.125,1415831.375,261691.796875,288694.65625,299327.6875,gasolio
89048,39.433308,20.406052,1021.890442,307138.5625,63673548.0,49498488.0,31560800.0,1642671.0,1525228.125,1408528.25,260891.71875,286995.53125,295953.75,gasolio
89056,39.393429,20.280827,1021.887939,304943.40625,63396372.0,47472656.0,30978964.0,1617374.125,1486751.375,1377269.625,259109.3125,284128.75,293409.75,gasolio
89064,39.420845,20.298624,1021.893433,302779.40625,62939736.0,46811428.0,30460608.0,1608798.125,1465998.625,1389888.0,257934.515625,283185.84375,294168.34375,gasolio
89072,39.448261,20.25251,1021.898987,300645.90625,61262912.0,46364344.0,30145354.0,1591916.0,1469153.5,1373114.375,256192.140625,279475.96875,289674.6875,gasolio
89080,39.453243,20.274147,1021.906799,300117.21875,61565056.0,45974044.0,30021072.0,1579028.5,1456614.5,1363515.375,257351.09375,281087.03125,291405.8125,gasolio
89088,39.470692,20.301945,1021.894836,294422.09375,60667440.0,45685604.0,29554002.0,1566348.0,1448885.75,1347368.375,252403.25,277431.59375,285077.9375,gasolio
89096,39.478172,20.318424,1021.917725,296467.875,60000916.0,45072904.0,29101244.0,1552985.75,1433671.625,1331599.5,250550.53125,270184.6875,285554.9375,gasolio
89104,39.488136,20.281796,1021.91449,290661.375,58396972.0,44795624.0,28699802.0,1556526.75,1411440.375,1323852.625,247462.546875,272775.71875,281550.71875,gasolio
