_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
2024-06-03 14:01:00+00:00,3.432,3.307,31.27,38.767,425700.0,102400000.0,102041200.0,97054400.0,4954300.0,4896500.0,4810300.0,433000.0,463300.0,487500.0
2024-06-03 14:02:00+00:00,3.431,3.306,31.44,38.364,424100.0,102400000.0,101331200.0,96305600.0,4927500.0,4848700.0,4768300.0,429800.0,459900.0,486400.0
2024-06-03 14:03:00+00:00,3.43,3.307,31.6,38.03,423600.0,102400000.0,100631000.0,95777800.0,4923000.0,4844400.0,4743400.0,427600.0,460800.0,487500.0
2024-06-03 14:04:00+00:00,3.431,3.308,31.66,37.702,421500.0,102400000.0,101566800.0,95359700.0,4887800.0,4827300.0,4772500.0,426000.0,459200.0,482600.0
2024-06-03 14:06:00+00:00,3.432,3.306,31.76,37.65,422600.0,102400000.0,100979900.0,95463900.0,4892200.0,4844400.0,4768300.0,427600.0,463600.0,486100.0
2024-06-03 14:07:00+00:00,3.431,3.308,31.83,37.551,419700.0,102400000.0,100631000.0,95255800.0,4887800.0,4801800.0,4776600.0,427900.0,460200.0,485000.0
2024-06-03 14:08:00+00:00,3.431,3.305,31.65,37.271,421800.0,102400000.0,99826300.0,95672900.0,4874700.0,4835800.0,4731100.0,430300.0,461100.0,483000.0
2024-06-03 14:09:00+00:00,3.431,3.306,31.73,36.511,423900.0,102400000.0,102160500.0,97054400.0,4940800.0,4883400.0,4806100.0,430000.0,462000.0,486100.0
2024-06-03 14:11:00+00:00,3.432,3.307,31.82,37.691,422600.0,102400000.0,101096700.0,95672900.0,4914200.0,4848700.0,4755800.0,431900.0,460500.0,486100.0
2024-06-03 14:12:00+00:00,3.433,3.306,31.83,37.739,418700.0,102400000.0,99259300.0,94432200.0,4870300.0,4785000.0,4714800.0,427100.0,458600.0,480600.0
2024-06-03 14:13:00+00:00,3.432,3.306,31.67,37.905,417400.0,102400000.0,98698700.0,94534400.0,4861700.0,4806100.0,4694500.0,427100.0,455000.0,483300.0
2024-06-03 14:14:00+00:00,3.432,3.309,31.63,37.692,419200.0,102400000.0,100747100.0,94636800.0,4814500.0,4801800.0,4714800.0,426500.0,459600.0,483000.0
2024-06-03 14:16:00+00:00,3.431,3.306,31.59,37.826,420200.0,102400000.0,100631000.0,94945300.0,4870300.0,4789200.0,4743400.0,425500.0,457700.0,484000.0
2024-06-03 14:17:00+00:00,3.433,3.309,31.5,38.01,419700.0,102400000.0,100747100.0,94636800.0,4896500.0,4780800.0,4760000.0,425500.0,455600.0,480600.0
2024-06-03 14:18:00+00:00,3.431,3.307,31.42,38.133,420700.0,102400000.0,100399800.0,94534400.0,4874700.0,4776600.0,4747600.0,426000.0,460500.0,484700.0
2024-06-03 14:19:00+00:00,3.432,3.308,31.42,38.452,421500.0,102400000.0,100054900.0,95048500.0,4887800.0,4780800.0,4755800.0,425700.0,457400.0,481300.0
2024-06-03 14:21:00+00:00,3.431,3.307,31.43,38.113,421300.0,102400000.0,100747100.0,94432200.0,4874700.0,4831600.0,4694500.0,426800.0,461100.0,485700.0
2024-06-03 14:22:00+00:00,3.432,3.307,31.45,38.213,421500.0,102400000.0,99940500.0,95463900.0,4879000.0,4806100.0,4776600.0,428100.0,457700.0,485700.0
2024-06-03 14:23:00+00:00,3.433,3.309,31.38,38.413,422300.0,102400000.0,100747100.0,95672900.0,4927500.0,4844400.0,4768300.0,429200.0,459200.0,485000.0
2024-06-03 14:24:00+00:00,3.431,3.306,31.26,39.43,421500.0,102400000.0,99712400.0,95048500.0,4857300.0,4772500.0,4764100.0,426500.0,457700.0,480900.0
2024-06-03 14:26:00+00:00,3.432,3.307,31.18,39.608,417700.0,102400000.0,99598700.0,94739400.0,4831600.0,4760000.0,4706600.0,424900.0,455600.0,480600.0
2024-06-03 14:27:00+00:00,3.431,3.306,31.23,39.982,418400.0,102400000.0,97705500.0,93422600.0,4823000.0,4718800.0,4646600.0,422800.0,452800.0,477900.0
2024-06-03 14:28:00+00:00,3.431,3.305,31.3,39.472,416100.0,102400000.0,98810400.0,93123900.0,4789200.0,4735200.0,4630800.0,423400.0,452800.0,478600.0
2024-06-03 14:29:00+00:00,3.432,3.307,31.44,39.272,414400.0,102400000.0,98365400.0,92925900.0,4785000.0,4706600.0,4654500.0,420500.0,451600.0,476900.0
2024-06-03 14:31:00+00:00,3.432,3.306,31.54,39.521,414900.0,102400000.0,97487500.0,92630300.0,4768300.0,4666400.0,4654500.0,420200.0,449900.0,474200.0
2024-06-03 14:32:00+00:00,3.431,3.305,31.63,39.434,414100.0,101096700.0,96732100.0,91371200.0,4739300.0,4674400.0,4603500.0,422000.0,449600.0,475600.0
2024-06-03 14:33:00+00:00,3.433,3.308,31.58,38.503,414100.0,102400000.0,96199600.0,91562600.0,4743400.0,4686400.0,4646600.0,420700.0,449600.0,478200.0
2024-06-03 14:34:00+00:00,3.433,3.308,31.51,38.843,415100.0,102400000.0,98034400.0,93522600.0,4743400.0,4694500.0,4654500.0,421000.0,453100.0,476600.0
2024-06-03 14:36:00+00:00,3.432,3.307,31.41,39.499,414900.0,102400000.0,97705500.0,92630300.0,4743400.0,4710700.0,4638700.0,420700.0,451900.0,473600.0
2024-06-03 14:37:00+00:00,3.433,3.309,31.46,39.309,415400.0,102041200.0,97924500.0,93223300.0,4739300.0,4686400.0,4611300.0,418900.0,449000.0,473300.0
2024-06-03 14:38:00+00:00,3.433,3.312,31.46,39.373,415100.0,101566800.0,96946700.0,92142000.0,4731100.0,4714800.0,4634700.0,418700.0,452500.0,474600.0
2024-06-03 14:40:00+00:00,3.433,3.31,31.48,39.352,414600.0,101922200.0,97487500.0,92434400.0,4776600.0,4698500.0,4615200.0,420200.0,451300.0,474900.0
2024-06-03 14:41:00+00:00,3.436,3.326,31.47,38.021,416100.0,102400000.0,98810400.0,93322800.0,4793400.0,4735200.0,4690500.0,423900.0,453400.0,478200.0
2024-06-03 14:42:00+00:00,3.435,3.312,31.36,39.166,418700.0,102400000.0,99598700.0,94636800.0,4848700.0,4764100.0,4690500.0,424100.0,453100.0,478600.0
2024-06-03 14:43:00+00:00,3.434,3.309,31.24,39.316,417100.0,102400000.0,99940500.0,94127100.0,4810300.0,4731100.0,4722900.0,424100.0,454700.0,478600.0
2024-06-03 14:45:00+00:00,3.434,3.31,31.19,39.822,418400.0,102400000.0,98922200.0,93622800.0,4789200.0,4739300.0,4682400.0,424400.0,454100.0,478200.0
2024-06-03 14:46:00+00:00,3.434,3.311,31.13,40.087,419700.0,102400000.0,98365400.0,93422600.0,4810300.0,4714800.0,4662400.0,424100.0,453800.0,478200.0
2024-06-03 14:47:00+00:00,3.435,3.31,31.07,39.286,416600.0,102400000.0,99372200.0,94228600.0,4844400.0,4743400.0,4674400.0,426000.0,456200.0,480600.0
2024-06-03 14:48:00+00:00,3.436,3.313,31.07,40.406,418400.0,102400000.0,98587400.0,93622800.0,4780800.0,4714800.0,4658500.0,425700.0,456200.0,479600.0
2024-06-03 14:50:00+00:00,3.436,3.314,31.0,40.644,416400.0,102400000.0,98365400.0,92827100.0,4789200.0,4706600.0,4662400.0,423400.0,453800.0,479600.0
2024-06-03 14:51:00+00:00,3.436,3.313,30.8,41.388,414400.0,102400000.0,97924500.0,92044900.0,4751700.0,4666400.0,4599600.0,422800.0,455000.0,478900.0
2024-06-03 14:52:00+00:00,3.437,3.312,30.72,40.905,417400.0,102400000.0,98587400.0,93522600.0,4785000.0,4702600.0,4666400.0,426300.0,454100.0,480600.0
2024-06-03 14:53:00+00:00,3.437,3.313,30.69,40.894,416600.0,102400000.0,99034300.0,93123900.0,4814500.0,4718800.0,4670400.0,425500.0,458900.0,484300.0
2024-06-03 14:55:00+00:00,3.436,3.312,30.67,41.392,419200.0,102400000.0,98365400.0,93123900.0,4818800.0,4739300.0,4710700.0,427600.0,458300.0,483000.0
2024-06-03 14:56:00+00:00,3.434,3.311,30.58,41.607,419500.0,102400000.0,98254800.0,93123900.0,4827300.0,4739300.0,4666400.0,426800.0,457400.0,481600.0
2024-06-03 14:57:00+00:00,3.436,3.31,30.55,42.071,416900.0,102400000.0,97924500.0,92142000.0,4801800.0,4731100.0,4666400.0,424100.0,456500.0,480300.0
2024-06-03 14:58:00+00:00,3.436,3.311,30.54,42.052,417100.0,102400000.0,98144500.0,92630300.0,4814500.0,4722900.0,4662400.0,425700.0,454400.0,481600.0
2024-06-03 15:01:00+00:00,3.434,3.309,30.52,42.689,417400.0,102400000.0,97596400.0,92142000.0,4789200.0,4718800.0,4658500.0,425700.0,453400.0,479900.0
2024-06-03 15:02:00+00:00,3.434,3.307,30.59,42.506,415600.0,102400000.0,97054400.0,92728600.0,4760000.0,4678400.0,4611300.0,426300.0,454400.0,478600.0
2024-06-03 15:03:00+00:00,3.432,3.306,30.72,42.217,415100.0,101803400.0,96093800.0,91562600.0,4755800.0,4674400.0,4599600.0,422600.0,453800.0,478200.0
2024-06-03 15:05:00+00:00,3.432,3.306,30.88,41.143,416600.0,102280100.0,97924500.0,93322800.0,4760000.0,4666400.0,4642600.0,424100.0,452500.0,479900.0
2024-06-03 15:06:00+00:00,3.432,3.306,31.04,40.746,417100.0,102400000.0,98476300.0,94228600.0,4797600.0,4718800.0,4642600.0,423600.0,454400.0,479200.0
2024-06-03 15:07:00+00:00,3.431,3.306,31.17,41.025,414100.0,101448900.0,97596400.0,92336700.0,4722900.0,4686400.0,4662400.0,421500.0,452800.0,476200.0
2024-06-03 15:08:00+00:00,3.432,3.308,31.13,40.559,414900.0,102400000.0,97814900.0,92630300.0,4776600.0,4706600.0,4650500.0,422800.0,452500.0,478900.0
2024-06-03 15:10:00+00:00,3.433,3.307,30.95,40.461,416400.0,102400000.0,98698700.0,93622800.0,4764100.0,4710700.0,4634700.0,425200.0,453400.0,480300.0
2024-06-03 15:11:00+00:00,3.434,3.309,30.9,40.608,416900.0,102400000.0,98144500.0,93522600.0,4789200.0,4690500.0,4650500.0,425200.0,455300.0,480600.0
2024-06-03 15:12:00+00:00,3.435,3.31,30.83,40.684,415900.0,102400000.0,99034300.0,94330300.0,4789200.0,4739300.0,4658500.0,427100.0,457700.0,481600.0
2024-06-03 15:13:00+00:00,3.437,3.31,30.84,39.671,421500.0,102400000.0,99712400.0,94739400.0,4866000.0,4827300.0,4698500.0,429200.0,459900.0,483000.0
2024-06-03 15:15:00+00:00,3.436,3.312,30.83,39.716,422800.0,102400000.0,101213800.0,95777800.0,4887800.0,4823000.0,4789200.0,431700.0,462000.0,486800.0
2024-06-03 15:17:00+00:00,3.437,3.315,30.65,39.313,428400.0,102400000.0,102400000.0,98476300.0,5018000.0,4927500.0,4861700.0,438900.0,470000.0,495600.0
