_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
2024-06-03 14:02:00+00:00,3.529,3.403,30.38,40.291,484300.0,102400000.0,102400000.0,102400000.0,5777100.0,5777100.0,5704700.0,487500.0,505500.0,523700.0
2024-06-03 14:03:00+00:00,3.531,3.404,30.46,40.052,480600.0,102400000.0,102400000.0,102400000.0,5795500.0,5758800.0,5675000.0,485000.0,507400.0,524500.0
2024-06-03 14:04:00+00:00,3.531,3.404,30.52,39.892,480300.0,102400000.0,102400000.0,102400000.0,5771000.0,5704700.0,5692800.0,485000.0,503600.0,524100.0
2024-06-03 14:05:00+00:00,3.532,3.406,30.56,39.797,477600.0,102400000.0,102400000.0,102400000.0,5740700.0,5716600.0,5663300.0,483700.0,501800.0,521700.0
2024-06-03 14:07:00+00:00,3.529,3.404,30.63,39.833,477900.0,102400000.0,102400000.0,102400000.0,5740700.0,5710700.0,5680900.0,485400.0,505500.0,520100.0
2024-06-03 14:08:00+00:00,3.532,3.405,30.62,39.49,477900.0,102400000.0,102400000.0,102400000.0,5752800.0,5686900.0,5686900.0,485400.0,504400.0,522100.0
2024-06-03 14:09:00+00:00,3.531,3.406,30.62,38.441,478600.0,102400000.0,102400000.0,102400000.0,5826400.0,5698700.0,5716600.0,485700.0,507400.0,523700.0
2024-06-03 14:10:00+00:00,3.53,3.406,30.71,39.557,481300.0,102400000.0,102400000.0,102400000.0,5777100.0,5698700.0,5651600.0,483700.0,504000.0,520100.0
2024-06-03 14:12:00+00:00,3.531,3.405,30.74,39.791,475600.0,102400000.0,102400000.0,102400000.0,5692800.0,5645700.0,5663300.0,479600.0,501400.0,519400.0
2024-06-03 14:13:00+00:00,3.532,3.406,30.66,39.936,477200.0,102400000.0,102400000.0,102400000.0,5686900.0,5669200.0,5576500.0,480300.0,500000.0,519700.0
2024-06-03 14:14:00+00:00,3.532,3.408,30.6,39.508,475900.0,102400000.0,102400000.0,102400000.0,5680900.0,5616700.0,5622500.0,479600.0,501100.0,520500.0
2024-06-03 14:15:00+00:00,3.533,3.406,30.61,39.848,474900.0,102400000.0,102400000.0,102400000.0,5716600.0,5686900.0,5610900.0,480900.0,502500.0,520500.0
2024-06-03 14:17:00+00:00,3.534,3.408,30.55,39.742,478200.0,102400000.0,102400000.0,102400000.0,5716600.0,5710700.0,5657400.0,482300.0,501400.0,520100.0
2024-06-03 14:18:00+00:00,3.534,3.411,30.49,39.826,478200.0,102400000.0,102400000.0,102400000.0,5710700.0,5704700.0,5680900.0,481600.0,504400.0,522500.0
2024-06-03 14:19:00+00:00,3.534,3.407,30.45,40.097,477200.0,102400000.0,102400000.0,102400000.0,5728600.0,5704700.0,5634100.0,482300.0,503300.0,519400.0
2024-06-03 14:22:00+00:00,3.531,3.409,30.45,39.999,480300.0,102400000.0,102400000.0,102400000.0,5758800.0,5704700.0,5675000.0,481600.0,502200.0,524500.0
2024-06-03 14:23:00+00:00,3.532,3.406,30.44,40.048,478900.0,102400000.0,102400000.0,102400000.0,5764900.0,5758800.0,5669200.0,484300.0,506600.0,522100.0
2024-06-03 14:24:00+00:00,3.531,3.406,30.38,40.994,476600.0,102400000.0,102400000.0,102400000.0,5728600.0,5704700.0,5651600.0,480900.0,506600.0,521700.0
2024-06-03 14:26:00+00:00,3.532,3.407,30.32,41.145,473900.0,102400000.0,102400000.0,102400000.0,5698700.0,5692800.0,5599400.0,480900.0,503300.0,516600.0
2024-06-03 14:28:00+00:00,3.534,3.407,30.36,41.04,473600.0,102400000.0,102400000.0,102400000.0,5680900.0,5593700.0,5576500.0,476600.0,497400.0,519400.0
2024-06-03 14:29:00+00:00,3.532,3.406,30.44,41.062,473900.0,102400000.0,102400000.0,102400000.0,5686900.0,5639900.0,5587900.0,478600.0,500700.0,516600.0
2024-06-03 14:31:00+00:00,3.531,3.406,30.49,41.338,474600.0,102400000.0,102400000.0,102400000.0,5669200.0,5610900.0,5587900.0,477200.0,498500.0,515800.0
2024-06-03 14:32:00+00:00,3.532,3.407,30.56,41.368,474200.0,102400000.0,102400000.0,102400000.0,5634100.0,5605200.0,5565200.0,476600.0,499600.0,515800.0
2024-06-03 14:33:00+00:00,3.533,3.406,30.56,40.577,472300.0,102400000.0,102400000.0,102400000.0,5622500.0,5616700.0,5553800.0,477600.0,500000.0,517000.0
2024-06-03 14:34:00+00:00,3.535,3.409,30.55,40.76,472900.0,102400000.0,102400000.0,102400000.0,5651600.0,5628300.0,5553800.0,479200.0,501400.0,518600.0
2024-06-03 14:36:00+00:00,3.533,3.41,30.51,41.053,472600.0,102400000.0,102400000.0,102400000.0,5663300.0,5639900.0,5616700.0,477200.0,502200.0,516600.0
2024-06-03 14:37:00+00:00,3.533,3.408,30.52,41.045,471600.0,102400000.0,102400000.0,102400000.0,5669200.0,5593700.0,5553800.0,477600.0,497800.0,516600.0
2024-06-03 14:38:00+00:00,3.535,3.41,30.49,41.106,473300.0,102400000.0,102400000.0,102400000.0,5663300.0,5576500.0,5570800.0,477600.0,495200.0,513500.0
2024-06-03 14:39:00+00:00,3.535,3.41,30.48,41.231,471600.0,102400000.0,102400000.0,102400000.0,5645700.0,5605200.0,5559500.0,476600.0,500700.0,517800.0
2024-06-03 14:41:00+00:00,3.534,3.412,30.44,40.026,473300.0,102400000.0,102400000.0,102400000.0,5698700.0,5634100.0,5582200.0,481300.0,503300.0,520100.0
2024-06-03 14:42:00+00:00,3.536,3.409,30.41,40.807,478600.0,102400000.0,102400000.0,102400000.0,5728600.0,5704700.0,5616700.0,482600.0,503300.0,519000.0
2024-06-03 14:43:00+00:00,3.534,3.41,30.32,41.046,478900.0,102400000.0,102400000.0,102400000.0,5728600.0,5710700.0,5657400.0,482600.0,504000.0,524500.0
2024-06-03 14:44:00+00:00,3.535,3.412,30.25,41.481,475200.0,102400000.0,102400000.0,102400000.0,5704700.0,5704700.0,5610900.0,482600.0,502200.0,519000.0
2024-06-03 14:46:00+00:00,3.535,3.412,30.2,41.816,475600.0,102400000.0,102400000.0,102400000.0,5698700.0,5669200.0,5645700.0,481900.0,501400.0,520500.0
2024-06-03 14:47:00+00:00,3.534,3.408,30.15,40.961,477600.0,102400000.0,102400000.0,102400000.0,5752800.0,5716600.0,5680900.0,483000.0,507800.0,519400.0
