_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
2024-06-03 14:38:00+00:00,3.457,3.351,31.25,40.4,418400.0,97924500.0,94025800.0,89591200.0,4584200.0,4512200.0,4504800.0,424100.0,448100.0,471900.0
2024-06-03 14:39:00+00:00,3.454,3.353,31.27,40.638,414900.0,96625100.0,93422600.0,89043400.0,4561200.0,4493600.0,4435300.0,423100.0,448400.0,470000.0
2024-06-03 14:40:00+00:00,3.456,3.354,31.24,39.979,420500.0,98254800.0,93924700.0,90332100.0,4623000.0,4565000.0,4512200.0,426800.0,453400.0,478200.0
2024-06-03 14:42:00+00:00,3.455,3.353,31.15,40.118,425500.0,100747100.0,96093800.0,92044900.0,4686400.0,4611300.0,4534700.0,425200.0,452500.0,475600.0
2024-06-03 14:43:00+00:00,3.454,3.354,31.07,40.485,423400.0,98922200.0,95048500.0,91085400.0,4630800.0,4565000.0,4519700.0,426500.0,453100.0,476600.0
2024-06-03 14:44:00+00:00,3.455,3.354,31.0,40.772,421500.0,99372200.0,95152000.0,91466800.0,4670400.0,4599600.0,4538500.0,426000.0,453400.0,475600.0
2024-06-03 14:45:00+00:00,3.455,3.353,30.97,41.122,421000.0,98922200.0,95463900.0,91275700.0,4646600.0,4572700.0,4515900.0,426000.0,452800.0,473600.0
2024-06-03 14:47:00+00:00,3.455,3.354,30.92,40.354,421000.0,99940500.0,95672900.0,92044900.0,4698500.0,4642600.0,4588000.0,429800.0,455300.0,475600.0
2024-06-03 14:48:00+00:00,3.455,3.352,30.88,41.307,423900.0,100399800.0,96946700.0,92532200.0,4698500.0,4623000.0,4580300.0,427100.0,453400.0,476600.0
2024-06-03 14:49:00+00:00,3.456,3.355,30.87,41.347,423100.0,100169600.0,95988200.0,91851400.0,4670400.0,4611300.0,4538500.0,424700.0,451600.0,472900.0
2024-06-03 14:50:00+00:00,3.457,3.355,30.72,41.985,418900.0,98365400.0,95255800.0,91180500.0,4678400.0,4607400.0,4530900.0,426000.0,449900.0,472900.0
2024-06-03 14:52:00+00:00,3.458,3.354,30.63,42.147,420000.0,98034400.0,94945300.0,90707200.0,4642600.0,4580300.0,4523400.0,425200.0,451300.0,473600.0
2024-06-03 14:53:00+00:00,3.46,3.357,30.57,42.023,421300.0,98587400.0,94636800.0,91658700.0,4686400.0,4619100.0,4584200.0,428700.0,454100.0,474200.0
2024-06-03 14:54:00+00:00,3.457,3.357,30.54,41.953,426300.0,100054900.0,96946700.0,93024800.0,4751700.0,4694500.0,4607400.0,429500.0,456800.0,479900.0
2024-06-03 14:56:00+00:00,3.455,3.353,30.45,42.111,422300.0,100515300.0,96946700.0,92142000.0,4718800.0,4638700.0,4626900.0,430600.0,455300.0,480900.0
2024-06-03 14:57:00+00:00,3.456,3.353,30.38,42.72,424900.0,100399800.0,96199600.0,92630300.0,4718800.0,4682400.0,4603500.0,427300.0,453100.0,474900.0
2024-06-03 15:19:00+00:00,3.457,3.357,30.48,39.304,439400.0,102400000.0,102400000.0,98254800.0,4963300.0,4923000.0,4892200.0,445700.0,472900.0,492700.0
2024-06-03 15:21:00+00:00,3.459,3.359,30.52,40.002,444000.0,102400000.0,102400000.0,99598700.0,5004200.0,4954300.0,4870300.0,445500.0,471900.0,495200.0
2024-06-03 15:22:00+00:00,3.457,3.357,30.5,40.01,441400.0,102400000.0,102400000.0,99598700.0,4995100.0,4945300.0,4874700.0,446900.0,475900.0,494500.0
2024-06-03 15:23:00+00:00,3.456,3.356,30.56,40.091,444000.0,102400000.0,102400000.0,99146700.0,4986000.0,4945300.0,4870300.0,446300.0,475200.0,496300.0
2024-06-03 15:24:00+00:00,3.457,3.358,30.61,40.121,443400.0,102400000.0,102400000.0,98254800.0,4986000.0,4914200.0,4861700.0,441700.0,473900.0,493400.0
2024-06-03 15:26:00+00:00,3.458,3.357,30.6,39.979,439200.0,102400000.0,102400000.0,98698700.0,4990500.0,4945300.0,4896500.0,450500.0,474200.0,494900.0
2024-06-03 15:27:00+00:00,3.458,3.359,30.67,40.098,442900.0,102400000.0,102400000.0,99826300.0,5008800.0,4909700.0,4896500.0,444600.0,475600.0,499600.0
2024-06-03 15:28:00+00:00,3.458,3.359,30.68,39.978,442900.0,102400000.0,102400000.0,99826300.0,5008800.0,4949800.0,4874700.0,449000.0,472900.0,496300.0
2024-06-03 15:31:00+00:00,3.459,3.36,30.67,40.784,438600.0,102400000.0,102400000.0,97924500.0,4963300.0,4861700.0,4814500.0,445200.0,469700.0,488800.0
2024-06-03 15:32:00+00:00,3.458,3.36,30.6,40.986,437200.0,102400000.0,101803400.0,97705500.0,4896500.0,4861700.0,4818800.0,441100.0,466800.0,489900.0
2024-06-03 15:33:00+00:00,3.457,3.361,30.54,41.067,437700.0,102400000.0,101803400.0,97814900.0,4945300.0,4866000.0,4818800.0,439700.0,470300.0,494900.0
2024-06-03 15:34:00+00:00,3.458,3.359,30.31,41.32,439700.0,102400000.0,101803400.0,98365400.0,4949800.0,4883400.0,4810300.0,441100.0,470300.0,492700.0
2024-06-03 15:36:00+00:00,3.458,3.358,30.17,41.75,437700.0,102400000.0,101096700.0,97814900.0,4958800.0,4887800.0,4844400.0,441700.0,470000.0,493400.0
2024-06-03 15:37:00+00:00,3.459,3.36,30.1,41.739,437700.0,102400000.0,102400000.0,98922200.0,4990500.0,4923000.0,4879000.0,444600.0,472900.0,495600.0
2024-06-03 15:38:00+00:00,3.46,3.36,30.07,40.167,444000.0,102400000.0,102400000.0,100747100.0,5102400.0,5013400.0,4963300.0,451300.0,479600.0,503300.0
2024-06-03 15:39:00+00:00,3.459,3.359,29.99,40.214,447500.0,102400000.0,102400000.0,100747100.0,5074000.0,4999600.0,4940800.0,447200.0,477900.0,498500.0
2024-06-03 15:42:00+00:00,3.459,3.358,29.55,43.883,444600.0,102400000.0,102400000.0,99146700.0,5036500.0,4967800.0,4918600.0,449000.0,472300.0,499600.0
2024-06-03 15:43:00+00:00,3.46,3.359,29.33,44.561,444000.0,102400000.0,102041200.0,100747100.0,5059900.0,4990500.0,4931900.0,446000.0,472300.0,497000.0
2024-06-03 15:44:00+00:00,3.458,3.36,29.16,44.958,447500.0,102400000.0,102400000.0,99146700.0,5050500.0,4940800.0,4905300.0,446900.0,473900.0,494500.0
2024-06-03 15:46:00+00:00,3.458,3.36,29.08,45.053,445500.0,102400000.0,102041200.0,98254800.0,5036500.0,4931900.0,4883400.0,445200.0,471900.0,493100.0
2024-06-03 15:47:00+00:00,3.459,3.358,28.96,45.26,442600.0,102400000.0,100863400.0,97924500.0,4990500.0,4914200.0,4892200.0,444900.0,470600.0,494200.0
2024-06-03 15:48:00+00:00,3.457,3.358,28.9,45.677,441400.0,102400000.0,101213800.0,98698700.0,4976900.0,4945300.0,4870300.0,447500.0,472300.0,496000.0
2024-06-03 15:49:00+00:00,3.46,3.359,28.85,45.477,445500.0,102400000.0,102400000.0,98034400.0,4986000.0,4931900.0,4883400.0,449000.0,474600.0,498100.0
2024-06-03 15:51:00+00:00,3.46,3.362,28.86,45.508,447500.0,102400000.0,102400000.0,99146700.0,4990500.0,4949800.0,4861700.0,446300.0,472600.0,496700.0
2024-06-03 15:52:00+00:00,3.459,3.36,28.84,45.306,444600.0,102400000.0,102160500.0,97705500.0,4967800.0,4918600.0,4896500.0,448100.0,473600.0,497800.0
2024-06-03 15:53:00+00:00,3.459,3.361,28.74,46.221,444600.0,102400000.0,101922200.0,96946700.0,4972300.0,4909700.0,4818800.0,445500.0,472900.0,494200.0
2024-06-03 15:54:00+00:00,3.459,3.361,28.74,46.383,444600.0,102400000.0,101096700.0,97054400.0,4949800.0,4909700.0,4861700.0,444900.0,472900.0,494900.0
2024-06-03 15:57:00+00:00,3.461,3.363,28.76,46.056,442300.0,102400000.0,101922200.0,97162300.0,4995100.0,4945300.0,4887800.0,447500.0,473600.0,495600.0
2024-06-03 15:58:00+00:00,3.462,3.366,28.8,46.344,444600.0,102400000.0,101922200.0,98810400.0,4990500.0,4945300.0,4870300.0,446900.0,473900.0,497000.0
2024-06-03 15:59:00+00:00,3.463,3.363,28.81,45.942,443400.0,102400000.0,102280100.0,97814900.0,4986000.0,4940800.0,4840100.0,448700.0,474200.0,495600.0
2024-06-03 16:01:00+00:00,3.465,3.35,28.71,45.747,446300.0,102400000.0,102400000.0,99712400.0,5083400.0,4995100.0,4927500.0,451900.0,476600.0,498900.0
2024-06-03 16:02:00+00:00,3.462,3.367,28.57,46.55,447200.0,102400000.0,102280100.0,99485300.0,5013400.0,4976900.0,4931900.0,451100.0,473900.0,498100.0
2024-06-03 16:03:00+00:00,3.461,3.363,28.49,46.323,445500.0,102400000.0,102400000.0,99712400.0,5013400.0,4940800.0,4931900.0,450500.0,476900.0,501100.0
2024-06-03 16:05:00+00:00,3.459,3.364,28.36,46.786,449600.0,102400000.0,102400000.0,99940500.0,5064600.0,4995100.0,4940800.0,454100.0,482300.0,502900.0
2024-06-03 16:06:00+00:00,3.46,3.363,28.3,46.99,449300.0,102400000.0,102400000.0,100054900.0,5102400.0,5036500.0,4972300.0,451900.0,480300.0,505900.0
2024-06-03 16:07:00+00:00,3.462,3.345,28.24,46.913,449000.0,102400000.0,102400000.0,99826300.0,5092900.0,5004200.0,4972300.0,454700.0,481600.0,502500.0
2024-06-03 16:08:00+00:00,3.46,3.365,28.23,46.675,450500.0,102400000.0,102400000.0,100169600.0,5069300.0,5022600.0,4958800.0,453400.0,479900.0,503600.0
2024-06-03 16:11:00+00:00,3.459,3.363,28.13,45.812,457100.0,102400000.0,102400000.0,102400000.0,5170000.0,5116800.0,5069300.0,464900.0,490300.0,511600.0
2024-06-03 16:12:00+00:00,3.459,3.363,28.08,45.998,458000.0,102400000.0,102400000.0,102400000.0,5264700.0,5214500.0,5140800.0,466800.0,491700.0,514300.0
2024-06-03 16:13:00+00:00,3.46,3.364,28.05,46.259,458300.0,102400000.0,102400000.0,102400000.0,5229400.0,5170000.0,5121600.0,464600.0,492700.0,516200.0
2024-06-03 16:15:00+00:00,3.46,3.364,27.98,46.098,461100.0,102400000.0,102400000.0,102400000.0,5219400.0,5155400.0,5059900.0,464200.0,490600.0,513500.0
2024-06-03 16:16:00+00:00,3.459,3.364,27.94,46.625,460800.0,102400000.0,102400000.0,102400000.0,5239500.0,5088100.0,5121600.0,463600.0,493800.0,515400.0
2024-06-03 16:17:00+00:00,3.459,3.363,27.88,47.493,456500.0,102400000.0,102400000.0,102400000.0,5136000.0,5140800.0,5126400.0,462400.0,493100.0,509300.0
2024-06-03 16:18:00+00:00,3.459,3.364,27.77,48.482,454700.0,102400000.0,102400000.0,101213800.0,5170000.0,5074000.0,4963300.0,458900.0,484300.0,504800.0
2024-06-03 16:20:00+00:00,3.46,3.365,27.64,48.387,451900.0,102400000.0,102400000.0,100863400.0,5027300.0,5041200.0,4918600.0,457400.0,481900.0,506600.0
2024-06-03 16:21:00+00:00,3.461,3.365,27.45,48.774,451900.0,102400000.0,102400000.0,100054900.0,4995100.0,4936400.0,4853000.0,452800.0,482600.0,505100.0
2024-06-03 16:22:00+00:00,3.461,3.305,27.23,50.04,449000.0,102400000.0,102400000.0,100284600.0,5022600.0,4986000.0,4931900.0,455600.0,481600.0,505900.0
2024-06-03 16:23:00+00:00,3.465,3.932,27.03,49.797,449900.0,102400000.0,102400000.0,100054900.0,5031900.0,4949800.0,4870300.0,453400.0,481900.0,505900.0
2024-06-03 16:25:00+00:00,3.46,3.365,27.0,49.906,452800.0,102400000.0,102400000.0,101448900.0,5083400.0,5013400.0,4967800.0,455300.0,481900.0,506300.0
2024-06-03 16:26:00+00:00,3.46,3.364,27.04,50.597,451100.0,102400000.0,102400000.0,101213800.0,5092900.0,5013400.0,4949800.0,456500.0,484700.0,505900.0
2024-06-03 16:27:00+00:00,3.464,3.932,27.18,49.904,452200.0,102400000.0,102400000.0,100747100.0,5074000.0,4999600.0,4936400.0,457400.0,484300.0,506300.0
2024-06-03 16:28:00+00:00,3.459,3.364,27.26,49.564,454700.0,102400000.0,102400000.0,101685000.0,5074000.0,4995100.0,4940800.0,458600.0,484700.0,508900.0
2024-06-03 16:30:00+00:00,3.465,3.01,27.26,48.95,455600.0,102400000.0,102400000.0,102400000.0,5145700.0,5064600.0,5041200.0,461400.0,487800.0,510800.0
2024-06-03 16:31:00+00:00,3.463,3.932,27.19,49.337,457100.0,102400000.0,102400000.0,101922200.0,5126400.0,5074000.0,4999600.0,461400.0,491300.0,511600.0
2024-06-03 16:32:00+00:00,3.466,2.668,27.1,50.084,457100.0,102400000.0,102400000.0,102400000.0,5112000.0,5055200.0,4995100.0,461400.0,487800.0,511600.0
2024-06-03 16:33:00+00:00,3.466,2.98,26.96,50.032,455600.0,102400000.0,102400000.0,101448900.0,5092900.0,5031900.0,4972300.0,458900.0,487100.0,511200.0
2024-06-03 16:35:00+00:00,3.465,2.665,26.76,50.22,457700.0,102400000.0,102400000.0,101566800.0,5092900.0,5018000.0,4999600.0,461700.0,486800.0,509700.0
2024-06-03 16:36:00+00:00,3.461,3.366,26.61,51.523,454100.0,102400000.0,102400000.0,102400000.0,5160300.0,5069300.0,5018000.0,463000.0,490600.0,509300.0
2024-06-03 16:37:00+00:00,3.465,2.668,26.51,50.684,454700.0,102400000.0,102400000.0,102400000.0,5140800.0,5092900.0,5036500.0,462400.0,487100.0,513100.0
2024-06-03 16:38:00+00:00,3.46,3.369,26.42,52.098,458300.0,102400000.0,102400000.0,102400000.0,5145700.0,5107200.0,5022600.0,464200.0,491300.0,514300.0
2024-06-03 16:41:00+00:00,3.46,3.365,26.26,51.858,458600.0,102400000.0,102400000.0,102400000.0,5194600.0,5155400.0,5069300.0,464900.0,490600.0,512000.0
2024-06-03 16:42:00+00:00,3.467,2.669,26.23,52.015,460800.0,102400000.0,102400000.0,102400000.0,5170000.0,5131200.0,5041200.0,464600.0,493800.0,514700.0
2024-06-03 16:44:00+00:00,3.465,2.667,26.2,51.689,460500.0,102400000.0,102400000.0,102400000.0,5214500.0,5160300.0,5102400.0,466500.0,494900.0,518200.0
2024-06-03 16:45:00+00:00,3.461,3.367,26.2,51.415,464900.0,102400000.0,102400000.0,102400000.0,5219400.0,5170000.0,5126400.0,469700.0,494500.0,522100.0
2024-06-03 16:46:00+00:00,3.466,2.665,26.2,51.361,463600.0,102400000.0,102400000.0,102400000.0,5269800.0,5199600.0,5174900.0,470600.0,498100.0,520500.0
2024-06-03 16:47:00+00:00,3.464,2.661,26.24,51.724,463600.0,102400000.0,102400000.0,102400000.0,5264700.0,5184800.0,5131200.0,469000.0,497000.0,519700.0
2024-06-03 16:49:00+00:00,3.464,2.66,26.31,51.514,463600.0,102400000.0,102400000.0,102400000.0,5274900.0,5234500.0,5160300.0,470000.0,496300.0,518200.0
2024-06-03 16:50:00+00:00,3.466,2.66,26.37,51.566,465800.0,102400000.0,102400000.0,102400000.0,5244500.0,5174900.0,5140800.0,467100.0,497800.0,515800.0
2024-06-03 16:51:00+00:00,3.465,2.66,26.32,51.781,461700.0,102400000.0,102400000.0,102400000.0,5264700.0,5165100.0,5107200.0,466500.0,494500.0,516600.0
2024-06-03 16:52:00+00:00,3.466,2.658,26.23,53.12,461400.0,102400000.0,102400000.0,102400000.0,5214500.0,5136000.0,5069300.0,463900.0,491300.0,515400.0
2024-06-03 16:54:00+00:00,3.465,2.656,26.11,52.892,458300.0,102400000.0,102400000.0,102400000.0,5194600.0,5078700.0,5059900.0,465200.0,497000.0,518600.0
2024-06-03 16:55:00+00:00,3.465,2.655,26.0,52.922,463900.0,102400000.0,102400000.0,102400000.0,5214500.0,5165100.0,5107200.0,467400.0,494200.0,519000.0
2024-06-03 16:56:00+00:00,3.466,2.655,25.92,53.281,464200.0,102400000.0,102400000.0,102400000.0,5204500.0,5224400.0,5092900.0,467700.0,493800.0,517400.0
2024-06-03 16:57:00+00:00,3.467,2.655,25.86,53.641,454400.0,102400000.0,102400000.0,102400000.0,5214500.0,5116800.0,5083400.0,467700.0,494500.0,517000.0
2024-06-03 17:00:00+00:00,3.466,2.656,25.72,53.885,463000.0,102400000.0,102400000.0,102400000.0,5214500.0,5155400.0,5088100.0,466100.0,494200.0,520100.0
2024-06-03 17:01:00+00:00,3.468,2.655,25.63,54.297,454700.0,102400000.0,102400000.0,102400000.0,5259700.0,5170000.0,5150500.0,472600.0,499200.0,522100.0
2024-06-03 17:02:00+00:00,3.468,2.654,25.55,53.42,466500.0,102400000.0,102400000.0,102400000.0,5326300.0,5239500.0,5189700.0,474200.0,503600.0,524900.0
2024-06-03 17:04:00+00:00,3.467,2.653,25.52,52.939,464600.0,102400000.0,102400000.0,102400000.0,5400100.0,5316000.0,5274900.0,477200.0,503300.0,527800.0
2024-06-03 17:05:00+00:00,3.465,2.652,25.62,51.084,471300.0,102400000.0,102400000.0,102400000.0,5481400.0,5410800.0,5400100.0,485000.0,509300.0,536900.0
2024-06-03 17:06:00+00:00,3.465,2.655,25.8,51.6,464900.0,102400000.0,102400000.0,102400000.0,5194600.0,5121600.0,5074000.0,469700.0,497800.0,522100.0
2024-06-03 17:08:00+00:00,3.466,2.652,26.09,50.866,469700.0,102400000.0,102400000.0,102400000.0,5368200.0,5264700.0,5249500.0,474600.0,502200.0,527800.0
2024-06-03 17:09:00+00:00,3.467,2.652,26.39,49.057,474200.0,102400000.0,102400000.0,102400000.0,5400100.0,5310800.0,5264700.0,477600.0,507000.0,529000.0
